Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
Cameron's Jurassic IPA,3.85,1,473,6.8,Can,Ale,0.12,3.85,473,32.164
Brock Street Tropical Thunder NEIPA,3.65,1,473,6.4,Can,Ale,0.121,3.65,473,30.272
Brasserie Tuque De Broue Tuque Doree,3.95,1,473,4.5,Can,Ale,0.186,3.95,473,21.285
Avling Brewing Tributary Hefeweizen,3.95,1,355,5.3,Can,Ale,0.21,3.95,355,18.815
Brasserie De Blaugies La Moneuse Saison,8.05,1,375,8.0,Bottle,Ale,0.268,8.05,375,30.0
Amsterdam Neon Haze Hazy IPA,3.35,1,473,5.7,Can,Ale,0.124,3.35,473,26.961
Beyond the Pale Tropicale Breeze,4.25,1,473,4.5,Can,Ale,0.2,4.25,473,21.285
Granite Brewery Ringwood Blonde Ale,3.5,1,473,5.2,Can,Ale,0.142,3.5,473,24.596
JuiceBox Raspberry Lemonade,2.35,1,473,5.0,Can,Ale,0.099,2.35,473,23.65
Perth Brewery Mocha Stout,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
Bad Shepherd Double Choc Hazelnut Brown,3.95,1,440,7.2,Can,Ale,0.125,3.95,440,31.68
Upper Thames Brewing Take a Hike,3.65,1,473,6.0,Can,Ale,0.129,3.65,473,28.38
Sinha Stout,3.75,1,330,8.8,Bottle,Ale,0.129,3.75,330,29.04
Sleeping Giant Mr. Canoehead,3.65,1,473,5.1,Can,Ale,0.151,3.65,473,24.123
Meuse Brewing Company Saison De La Meuse,3.1,1,330,5.0,Bottle,Ale,0.188,3.1,330,16.5
Nickel Brook Black Light All Night Stout,3.4,1,473,4.5,Can,Ale,0.16,3.4,473,21.285
Tomorrow Brew Co. Monty's Aged Ryed Ale,3.45,1,473,6.2,Can,Ale,0.118,3.45,473,29.326
Highlander Brew Co Scottish Ale,3.5,1,473,5.4,Can,Ale,0.137,3.5,473,25.542
Kronenbourg 1664,3.3,1,500,5.0,Can,Ale,0.132,3.3,500,25.0
IX Poets Brewing Hazy Mariner Cloudy IPA,3.5,1,473,5.3,Can,Ale,0.14,3.5,473,25.069
Forked River Interstellar IPA,3.6,1,473,6.5,Can,Ale,0.117,3.6,473,30.745
High Park Pumpkin Spice Latte,3.5,1,473,6.0,Can,Ale,0.123,3.5,473,28.38
Capt25 Incipient IPA,3.55,1,473,3.9,Can,Ale,0.192,3.55,473,18.447
Erdinger Oktoberfest,4.0,1,500,5.7,Bottle,Ale,0.14,4.0,500,28.5
Flying Monkeys Chocolate Manifesto,5.5,1,473,10.0,Can,Ale,0.116,5.5,473,47.3
Bud Light Lime,29.95,12,355,4.0,Can,Ale,0.176,2.496,4260,170.4
CATAPULT BREWING Kolsch Style Lagered Ale,3.5,1,473,4.7,Can,Ale,0.157,3.5,473,22.231
Bench Brewing Hopster DIPA,3.65,1,473,8.0,Can,Ale,0.096,3.65,473,37.84
Ashton Brewing Blackstone Ale,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Lambiek Fabriek - Brett-Elle,11.75,1,375,6.3,Bottle,Ale,0.497,11.75,375,23.625
Alexander Keith's India Pale Ale,52.5,24,355,5.0,Can,Ale,0.123,2.188,8520,426.0
Big Rig Pumpkin Porter,3.4,1,473,5.8,Can,Ale,0.124,3.4,473,27.434
The Napanee Beer Company EXTREMIST Belgian Style IPA,3.9,1,473,7.2,Can,Ale,0.115,3.9,473,34.056
The Grove Brewery Lupulin Express APA,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
Burdock Brewery Lime Gose,4.35,1,355,4.0,Can,Ale,0.306,4.35,355,14.2
Kronenbourg 1664 Blanc,3.3,1,500,5.0,Can,Ale,0.132,3.3,500,25.0
Mill Street Tea Time Lemon Wheat,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Innis & Gunn Original XX,13.0,2,330,6.6,Bottle,Ale,0.298,6.5,660,43.56
Whitewater Brewing Co Dark Roast Pumpkin Spice Espresso Porter,3.65,1,473,4.4,Can,Ale,0.175,3.65,473,20.812
Sweetgrass Golden Ale,3.3,1,473,4.9,Can,Ale,0.142,3.3,473,23.177
Lake of the Woods Dead Mans Switch NEIPA,3.45,1,473,6.8,Can,Ale,0.107,3.45,473,32.164
Orillia Brewing Summer Frost Cryo IPA,4.95,1,473,7.0,Can,Ale,0.15,4.95,473,33.11
Paniza Brewing Co Inc Helix Nebula,3.5,1,473,7.0,Can,Ale,0.106,3.5,473,33.11
Molson Export,45.95,24,341,5.0,Bottle,Ale,0.112,1.915,8184,409.2
Granville Island Lions Winter Ale,3.65,1,473,5.5,Can,Ale,0.14,3.65,473,26.015
Muskoka Detour,32.95,12,355,4.3,Can,Ale,0.18,2.746,4260,183.18
Bombardier Ale,3.25,1,500,5.2,Can,Ale,0.125,3.25,500,26.0
Avling Brewing Spinning Yarn Barrel Aged,7.5,1,375,5.0,Bottle,Ale,0.4,7.5,375,18.75
All or Nothing Brewhouse Take a Break Tropical Double IIPA,3.95,1,473,6.8,Can,Ale,0.123,3.95,473,32.164
Dawson Trail Craft Brewery Border Run,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Brouwerij The Musketeers Troubadour - Obscura,4.6,1,330,8.2,Bottle,Ale,0.17,4.6,330,27.06
Andechser Dopplebock Dunkel,4.2,1,500,7.1,Bottle,Ale,0.118,4.2,500,35.5
Amsterdam Space Invader IPA,3.45,1,473,6.0,Can,Ale,0.122,3.45,473,28.38
Duvel 666,4.2,1,330,6.6,Bottle,Ale,0.193,4.2,330,21.78
3 Fonteinen Intens Rood,20.0,1,375,6.0,Bottle,Ale,0.889,20.0,375,22.5
Church Key Brewing Northumberland Ale,14.5,6,341,5.0,Bottle,Ale,0.142,2.417,2046,102.3
Muskoka Brewery Winter Beard Stout,3.65,1,473,8.0,Can,Ale,0.096,3.65,473,37.84
Rally Beer Company Extra Mile Session IPA,3.15,1,355,3.5,Can,Ale,0.254,3.15,355,12.425
Gahan Pumpkin Ale,3.5,1,473,5.8,Can,Ale,0.128,3.5,473,27.434
Caledon Hills Summer Solstice,3.15,1,473,4.8,Can,Ale,0.139,3.15,473,22.704
Black Bellows Beach Freak,4.45,1,473,5.1,Can,Ale,0.184,4.45,473,24.123
Beau's Full Time IPA,3.65,1,473,6.0,Can,Ale,0.129,3.65,473,28.38
Founders Porter,3.5,1,355,6.5,Bottle,Ale,0.152,3.5,355,23.075
Three Sheets Brewing Slight Delay DIPA,4.75,1,473,8.0,Can,Ale,0.126,4.75,473,37.84
Nickel Brook Tongue Tied DDH IPA,3.75,1,473,5.6,Can,Ale,0.142,3.75,473,26.488
Cascade Brewing Brunch Line 2017,9.55,1,500,9.5,Bottle,Ale,0.201,9.55,500,47.5
Stack Brewing Sour IPA,3.75,1,473,6.5,Can,Ale,0.122,3.75,473,30.745
Henderson x Society of Beer Drinking Ladies Hibiscus Pale Ale,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
Collingwood Brewery Freestyle Tropiskull Thunder IPA,3.55,1,473,6.8,Can,Ale,0.11,3.55,473,32.164
Rickard's Red,30.95,12,341,5.2,Bottle,Ale,0.145,2.579,4092,212.784
Hendersons Radicle Salted Lime Gose,3.3,1,473,4.4,Can,Ale,0.159,3.3,473,20.812
Nickel Brook Jam Stand Raspberry,3.85,1,473,4.0,Can,Ale,0.203,3.85,473,18.92
Muskoka Mad Tom IPA,33.95,12,355,6.4,Can,Ale,0.125,2.829,4260,272.64
Flying Dog Gonzo Imperial Porter,5.0,1,355,10.0,Bottle,Ale,0.141,5.0,355,35.5
Bear Russian Imperial Stout,3.4,1,330,10.5,Bottle,Ale,0.098,3.4,330,34.65
Innis & Gunn Vanishing Point 07,17.8,1,500,11.0,Bottle,Ale,0.324,17.8,500,55.0
Voodoo Ranger IPA,4.05,1,473,7.0,Can,Ale,0.122,4.05,473,33.11
Zundert 10,4.95,1,330,10.0,Bottle,Ale,0.15,4.95,330,33.0
Maclay's Traditional Pale Ale,45.5,24,355,4.9,Can,Ale,0.109,1.896,8520,417.48
Innis & Gunn Original,20.95,6,500,6.6,Can,Ale,0.106,3.492,3000,198.0
Bobcaygeon Brewing Starry Night Chocolate Stout,3.95,1,473,6.3,Can,Ale,0.133,3.95,473,29.799
Harviestoun Brewery Bitter & Twisted,3.2,1,330,4.2,Bottle,Ale,0.231,3.2,330,13.86
Fat Tire Classic Ale,3.85,1,473,5.2,Can,Ale,0.157,3.85,473,24.596
Equilibrium Brewery Astrophysics IPA,4.95,1,473,6.5,Can,Ale,0.161,4.95,473,30.745
Brasserie Dupont Moinette Brune,3.45,1,330,8.5,Bottle,Ale,0.123,3.45,330,28.05
Bobcaygeon Brewing Bobber 100 Calorie Hazy IPA,3.5,1,473,2.5,Can,Ale,0.296,3.5,473,11.825
Alexander Keith's India Pale Ale,49.5,24,341,5.0,Bottle,Ale,0.121,2.062,8184,409.2
Phillips Electric Unicorn White Ipa,3.55,1,473,6.5,Can,Ale,0.115,3.55,473,30.745
Nickel Brook Uncle Goose IPA,3.75,1,473,6.3,Can,Ale,0.126,3.75,473,29.799
Anderson Craft Ales Giving IPA,15.45,6,355,6.2,Can,Ale,0.117,2.575,2130,132.06
Brimstone Brewing Sinister Minister IPA,4.5,1,500,7.0,Bottle,Ale,0.129,4.5,500,35.0
South River Brewing Co. Rowdy Piper IPA,3.25,1,473,4.2,Can,Ale,0.164,3.25,473,19.866
Signal Brewing Wave Pale Ale,4.25,1,473,6.1,Can,Ale,0.147,4.25,473,28.853
Signal Brewing Firewire,4.85,1,473,6.8,Can,Ale,0.151,4.85,473,32.164
Evergreen Craft Ales Smug NEIPA,3.75,1,473,6.0,Can,Ale,0.132,3.75,473,28.38
Salonikia Pale Ale Beer,3.95,1,330,5.5,Bottle,Ale,0.218,3.95,330,18.15
Wellington Brewery Good Odds Cranberry & Orange Sour,3.95,1,473,5.2,Can,Ale,0.161,3.95,473,24.596
Trou Du Diable Les Quatre Surfeurs De L'Apocalypso,3.85,1,473,6.5,Can,Ale,0.125,3.85,473,30.745
Redline Brewhouse Leather Interior Brown Ale with Vanilla & Almond,3.55,1,473,5.6,Can,Ale,0.134,3.55,473,26.488
Bunkie Brewing Blonde Ale,3.35,1,473,4.0,Can,Ale,0.177,3.35,473,18.92
MacLean's Farmhouse Blonde,77.25,24,473,4.8,Can,Ale,0.142,3.219,11352,544.896
Badger Fursty Ferret,3.0,1,440,4.4,Can,Ale,0.155,3.0,440,19.36
Sons of Kent Zephyr Dry Hopped Sour,3.5,1,473,5.3,Can,Ale,0.14,3.5,473,25.069
Brassroots Brewing - Darkwood Blackberry Saison,3.5,1,473,4.7,Can,Ale,0.157,3.5,473,22.231
Norse Golden Ale,3.15,1,473,5.0,Can,Ale,0.133,3.15,473,23.65
Barley Days Harvest Gold,2.95,1,473,4.8,Can,Ale,0.13,2.95,473,22.704
Barley Days Wind & Sail,2.95,1,473,5.0,Can,Ale,0.125,2.95,473,23.65
Devil's Pale Ale,3.35,1,473,6.0,Can,Ale,0.118,3.35,473,28.38
Encompass Blonde Beer,2.55,1,473,4.9,Can,Ale,0.11,2.55,473,23.177
The Hamilton Brewery Riley Red,2.75,1,473,4.5,Can,Ale,0.129,2.75,473,21.285
Abe Erb Brewing Das Spritzhaus Hefeweizen,3.25,1,473,4.7,Can,Ale,0.146,3.25,473,22.231
Shillow Beer Company Beer Snob,3.8,1,473,6.0,Can,Ale,0.134,3.8,473,28.38
St-Ambroise Pumpkin Ale,2.45,1,473,5.0,Can,Ale,0.104,2.45,473,23.65
Great Lakes Brewery Karma Citra IPA,3.55,1,473,6.6,Can,Ale,0.114,3.55,473,31.218
Abe Erb Brewing Kolsch Style Lagered Ale,3.25,1,473,4.8,Can,Ale,0.143,3.25,473,22.704
Innis & Gunn The Original,3.75,1,500,6.6,Can,Ale,0.114,3.75,500,33.0
Brasserie Etienne Brule Citrale,4.15,1,473,6.8,Can,Ale,0.129,4.15,473,32.164
All Or Nothing All-Out Effort American Amber,3.4,1,473,5.2,Can,Ale,0.138,3.4,473,24.596
Chimay Grande Reserve Barrel Aged,25.0,1,750,10.5,Bottle,Ale,0.317,25.0,750,78.75
Cameron's Brewing Crooked Nose Stout,3.5,1,473,5.1,Can,Ale,0.145,3.5,473,24.123
Radical Road Brewing Straight Up Sour Mango Pineapple,2.95,1,355,4.5,Can,Ale,0.185,2.95,355,15.975
Anderson Juicy IPA,15.45,6,355,6.2,Can,Ale,0.117,2.575,2130,132.06
Small Pony Barrel Works Mares in a Jam,7.95,1,375,7.1,Bottle,Ale,0.299,7.95,375,26.625
Innis & Gunn Irish Whiskey Cask,3.4,1,500,6.1,Can,Ale,0.111,3.4,500,30.5
Moinette Blonde,3.15,1,330,8.5,Bottle,Ale,0.112,3.15,330,28.05
Dragan Brewing Garnet Azacca Citra Pale Ale,3.95,1,473,5.0,Can,Ale,0.167,3.95,473,23.65
Anderson Craft Ale Spring,14.5,6,355,4.8,Can,Ale,0.142,2.417,2130,102.24
Ola Dubh Special Reserve 12 Years Old,6.45,1,330,8.0,Bottle,Ale,0.244,6.45,330,26.4
Lost Craft Eclipze IPA,3.25,1,473,6.0,Can,Ale,0.115,3.25,473,28.38
Somersby Apple Cider,3.85,1,473,4.5,Can,Cider,0.181,3.85,473,21.285
Somersby Blackberry Cider,3.9,1,473,4.5,Can,Cider,0.183,3.9,473,21.285
Somersby Mango & Lime Cider,3.8,1,473,4.5,Can,Cider,0.179,3.8,473,21.285
Somersby Pear Cider,3.9,1,473,4.5,Can,Cider,0.183,3.9,473,21.285
Rudesheimer Apfelschaumwein Extra Trocken 2019,18.95,1,750,8.5,Bottle,Cider,0.297,18.95,750,63.75
Thornbury Village Craft Apple Cider,3.65,1,473,5.3,Can,Cider,0.146,3.65,473,25.069
Waupoos Premium Cider,12.95,4,341,6.5,Bottle,Cider,0.146,3.238,1364,88.66
Somersby Red Rhubarb Cider,3.9,1,473,4.5,Can,Cider,0.183,3.9,473,21.285
Strongbow Ultra Cider Apple,15.0,6,330,4.5,Can,Cider,0.168,2.5,1980,89.1
Shiny Apple Ginger Lime Cider,3.65,1,473,7.0,Can,Cider,0.11,3.65,473,33.11
No Boats on Sunday Cider,4.95,1,500,5.0,Bottle,Cider,0.198,4.95,500,25.0
No Boats On Sunday Cider Box,22.95,1,3000,5.0,Can,Cider,0.153,22.95,3000,150.0
Okanagan Apple Cider,3.65,1,473,5.0,Can,Cider,0.154,3.65,473,23.65
Niagara Cider Company No.1 Dry Apple Cider,3.85,1,473,6.0,Can,Cider,0.136,3.85,473,28.38
Okanagan Harvest Pear,3.65,1,473,5.0,Can,Cider,0.154,3.65,473,23.65
Niagara Cider Company Blackberry Honey,4.25,1,473,6.0,Can,Cider,0.15,4.25,473,28.38
No Boats On Sunday Cider,21.95,6,473,5.0,Can,Cider,0.155,3.658,2838,141.9
Niagara Cider Peach Chardonnay,3.95,1,473,6.0,Can,Cider,0.139,3.95,473,28.38
Magnotta Small Batch Raspberry Cider,3.6,1,473,5.6,Can,Cider,0.136,3.6,473,26.488
Lost Craft Dry Rose,3.5,1,473,6.0,Can,Cider,0.123,3.5,473,28.38
Magners Original Irish Cider,4.0,1,500,4.5,Can,Cider,0.178,4.0,500,22.5
Liberty Village Dry Cider,3.6,1,473,4.5,Can,Cider,0.169,3.6,473,21.285
Growers Honeycrisp Apple,3.5,1,473,5.0,Can,Cider,0.148,3.5,473,23.65
Growers Granny Smith Apple Cider,15.95,6,330,7.0,Bottle,Cider,0.115,2.658,1980,138.6
Cowbell Rose Cider,3.65,1,473,5.0,Can,Cider,0.154,3.65,473,23.65
Cowbell Brewing Co. Peach Cider,3.65,1,473,5.0,Can,Cider,0.154,3.65,473,23.65
Cowbell Brewing Co. Original Cider,3.65,1,473,5.0,Can,Cider,0.154,3.65,473,23.65
Angry Orchard Hard Cider Crisp Apple,16.55,6,355,5.0,Bottle,Cider,0.155,2.758,2130,106.5
Lost Craft Apple Cider,3.4,1,473,5.0,Can,Cider,0.144,3.4,473,23.65
Ernest Dry Cider,3.65,1,473,6.3,Can,Cider,0.122,3.65,473,29.799
Strongbow Cider,4.2,1,500,5.3,Can,Cider,0.158,4.2,500,26.5
Rice Lake Original Dry Cider,13.95,4,355,6.2,Can,Cider,0.158,3.488,1420,88.04
Thornbury Craft Wild Blueberry Elderflower Cider,3.75,1,473,5.0,Can,Cider,0.159,3.75,473,23.65
Shiny Apple Peach Light Cider,3.65,1,473,4.0,Can,Cider,0.193,3.65,473,18.92
Shiny Apple Pineapple Mango Cider,3.65,1,473,7.0,Can,Cider,0.11,3.65,473,33.11
Tempt No. 9 Strawberry & Lime Cider,3.25,1,500,4.5,Can,Cider,0.144,3.25,500,22.5
Strongbow Cider,30.0,8,440,5.3,Can,Cider,0.161,3.75,3520,186.56
Shiny Apple Cider Bramble Berry Light,3.65,1,473,4.0,Can,Cider,0.193,3.65,473,18.92
Somersby Apple Cider 4x473ml Cans,14.0,4,473,4.5,Can,Cider,0.164,3.5,1892,85.14
Pommies Mimosa Cider,3.8,1,473,5.5,Can,Cider,0.146,3.8,473,26.015
Shiny Apple Cider,3.65,1,473,7.0,Can,Cider,0.11,3.65,473,33.11
Growers Light Extra Dry Cider,3.3,1,355,4.0,Can,Cider,0.232,3.3,355,14.2
Ironwood Ciderita Caribbean Lime Cider,3.95,1,473,4.2,Can,Cider,0.199,3.95,473,19.866
Saunders Flying Canoe Hard Cider,4.05,1,473,5.0,Can,Cider,0.171,4.05,473,23.65
Dragon's Gold Cider,3.6,1,473,5.5,Can,Cider,0.138,3.6,473,26.015
County Cider Blackberry Peach,3.95,1,473,6.5,Can,Cider,0.128,3.95,473,30.745
County Apple Cider,3.95,1,473,6.5,Can,Cider,0.128,3.95,473,30.745
Collective Arts Circling The Sun Applecherry Cider,3.8,1,473,5.5,Can,Cider,0.146,3.8,473,26.015
Bumper Crop Cider Co. Crisp Apple,2.95,1,473,7.0,Can,Cider,0.089,2.95,473,33.11
Brickworks Ciderhouse Queen Street 501,3.7,1,473,5.0,Can,Cider,0.156,3.7,473,23.65
Ardiel  Apple Dry Cider,3.75,1,473,6.0,Can,Cider,0.132,3.75,473,28.38
Sons of Kent Cedar Springs Hard Apple Spritzer Blueberry Cider,3.95,1,473,4.0,Can,Cider,0.209,3.95,473,18.92
Walkerville City Cidery Argyle Apple Cider,3.85,1,473,5.0,Can,Cider,0.163,3.85,473,23.65
Ernest Cider Mix 6-Pack,22.5,6,473,5.5,Can,Cider,0.144,3.75,2838,156.09
Stock And Row Cold Tea Raspberry Flavoured Cider,3.45,1,355,4.0,Can,Cider,0.243,3.45,355,14.2
Somersby Apple Cider,3.25,1,500,4.5,Can,Cider,0.144,3.25,500,22.5
Duxbury Cider Co Heritage 1650 Dry Cider 473 Can,3.95,1,473,6.5,Can,Cider,0.128,3.95,473,30.745
La Chouette Original Le Cidre Gourmand,5.85,1,330,4.5,Bottle,Cider,0.394,5.85,330,14.85
Pearbucha Flavoured Cider,3.6,1,473,4.0,Can,Cider,0.19,3.6,473,18.92
Ardiel Cider House Big John Lightly Hopped Cider,3.7,1,473,6.5,Can,Cider,0.12,3.7,473,30.745
Vieni Sparkling Apple Cider,13.05,1,750,6.0,Bottle,Cider,0.29,13.05,750,45.0
Thornbury Village Honeycrisp Apple Cider,3.75,1,473,5.6,Can,Cider,0.142,3.75,473,26.488
West Avenue Cider Heritage Dry,3.8,1,473,6.5,Can,Cider,0.124,3.8,473,30.745
Thornbury Craft Pear Apple Cider,3.85,1,473,7.0,Can,Cider,0.116,3.85,473,33.11
West Avenue Little Mac McIntosh Apple Cider,3.9,1,473,6.0,Can,Cider,0.137,3.9,473,28.38
Stock And Row Lime Crush Cider,3.45,1,355,4.5,Can,Cider,0.216,3.45,355,15.975
Reinhart's Blackberry Cider,3.55,1,473,7.0,Can,Cider,0.107,3.55,473,33.11
Shale Ridge Hard Cider Peach Apple,4.45,1,473,5.0,Can,Cider,0.188,4.45,473,23.65
West Avenue Cider Cherriosity,4.05,1,473,6.5,Can,Cider,0.132,4.05,473,30.745
Stock And Row Slow & Low Dry Cider,3.45,1,355,5.0,Can,Cider,0.194,3.45,355,17.75
Somersby Cider Mixer 8-Pack,26.35,8,473,4.5,Can,Cider,0.155,3.294,3784,170.28
Thornbury Craft Strong Apple Cider,3.85,1,473,7.1,Can,Cider,0.115,3.85,473,33.583
Reinhart's Red Apple Light Cider,3.3,1,473,3.8,Can,Cider,0.184,3.3,473,17.974
Reinhart's Red Apple Strong Cider,3.55,1,473,7.0,Can,Cider,0.107,3.55,473,33.11
Rekorderlig Wild Berries Cider,3.95,1,500,7.0,Can,Cider,0.113,3.95,500,35.0
Pombucha - Harmony Of Cider & Kombucha,3.5,1,473,4.0,Can,Cider,0.185,3.5,473,18.92
No Boats On Sunday Wild Strawberry Cider,3.85,1,473,5.0,Can,Cider,0.163,3.85,473,23.65
Pommies Cider,3.7,1,473,5.0,Can,Cider,0.156,3.7,473,23.65
Pommies Farmhouse Cider,3.7,1,473,6.0,Can,Cider,0.13,3.7,473,28.38
Muskoka Cliff Jump Cranberry Cider,3.85,1,473,5.5,Can,Cider,0.148,3.85,473,26.015
No Boats On Sunday Peach Cider,3.85,1,473,5.0,Can,Cider,0.163,3.85,473,23.65
Niagara Cider Rose Gold Berry Soaked Cider,3.95,1,473,6.0,Can,Cider,0.139,3.95,473,28.38
Loch Mor Sour Cherry Dry Cider,4.25,1,355,4.6,Can,Cider,0.26,4.25,355,16.33
Lonetree Authentic Dry Cider,3.1,1,473,5.6,Can,Cider,0.117,3.1,473,26.488
KW Craft Cider,3.85,1,473,6.7,Can,Cider,0.121,3.85,473,31.691
KW Craft Cider Chai Spiced,3.85,1,473,6.7,Can,Cider,0.121,3.85,473,31.691
Ironwood Hard Cider,3.65,1,473,6.0,Can,Cider,0.129,3.65,473,28.38
Kw Craft Cider Wild Cherry,3.95,1,473,6.4,Can,Cider,0.13,3.95,473,30.272
Liberty Village Peach Cider,3.6,1,473,4.5,Can,Cider,0.169,3.6,473,21.285
Growers Pear Cider,3.5,1,473,5.0,Can,Cider,0.148,3.5,473,23.65
Growers Cider Stone Fruit,3.5,1,473,5.0,Can,Cider,0.148,3.5,473,23.65
Ernest Cider Peach Bellini,3.75,1,473,5.8,Can,Cider,0.137,3.75,473,27.434
Coffin Ridge Forbidden Artisanal Cider,3.95,1,473,6.5,Can,Cider,0.128,3.95,473,30.745
Coffin Ridge Forbidden Hopped Cider,4.15,1,473,6.5,Can,Cider,0.135,4.15,473,30.745
Ernest Grapefully Flavoured Cider,3.95,1,473,5.5,Can,Cider,0.152,3.95,473,26.015
D'ont Poke The Bear Cider,3.45,1,473,5.6,Can,Cider,0.13,3.45,473,26.488
Chill Street Starry Nights Flavoured Cider,4.25,1,473,6.9,Can,Cider,0.13,4.25,473,32.637
Brickworks Ciderhouse Raspberry Lemonade Cider,3.7,1,473,4.5,Can,Cider,0.174,3.7,473,21.285
Brickworks Cider Batch 1904,20.95,6,473,5.0,Can,Cider,0.148,3.492,2838,141.9
Brickworks Ciderhouse Batch : 1904,3.7,1,473,4.7,Can,Cider,0.166,3.7,473,22.231
Angry Orchard Crisp Apple,3.5,1,473,5.0,Can,Cider,0.148,3.5,473,23.65
Ardiel Pear Dry Cider,3.75,1,473,5.5,Can,Cider,0.144,3.75,473,26.015
Spy Cider House and Distillery Crimson Tide Cider,4.35,1,473,5.5,Can,Cider,0.167,4.35,473,26.015
Spirit Tree Draught Cider,3.3,1,473,6.0,Can,Cider,0.116,3.3,473,28.38
Spy Cider House Golden Eye Cider,4.15,1,473,5.0,Can,Cider,0.175,4.15,473,23.65
Puddicombe Family Tree Apple Cider,3.5,1,473,5.5,Can,Cider,0.135,3.5,473,26.015
Heartwood Farm Eve Goes Badass Sparkling Cider,3.95,1,355,6.4,Can,Cider,0.174,3.95,355,22.72
Eden Grove Hibiscus Blossom Cider,3.75,1,473,5.4,Can,Cider,0.147,3.75,473,25.542
Forbidden Pink Cider,4.15,1,473,5.5,Can,Cider,0.16,4.15,473,26.015
Duntroon Cider House Empire Extra Dry Cider,3.95,1,473,5.5,Can,Cider,0.152,3.95,473,26.015
Duntroon Cyder House - Raindance Rhubarb Infused,3.85,1,473,4.3,Can,Cider,0.189,3.85,473,20.339
Duntroon Cyder House Standing Rock,3.65,1,473,4.3,Can,Cider,0.179,3.65,473,20.339
Brickworks Ciderhouse Stadium Island Peach Cider,3.6,1,473,4.5,Can,Cider,0.169,3.6,473,21.285
D'Ont Poke The Bear Berry Cider,3.5,1,473,5.5,Can,Cider,0.135,3.5,473,26.015
Ernest Cider Winter's Blush,3.65,1,473,5.7,Can,Cider,0.135,3.65,473,26.961
Tawse Cider,3.25,1,473,5.0,Can,Cider,0.137,3.25,473,23.65
Somersby Wild Garden Crushed Apple Cider,10.95,4,355,4.5,Can,Cider,0.171,2.738,1420,63.9
Rekorderlig Wild Berries Cider,4.0,1,500,4.5,Can,Cider,0.178,4.0,500,22.5
Magnotta Small Batch Cider,3.5,1,473,5.6,Can,Cider,0.132,3.5,473,26.488
Ernest Light Cider 6-Pack,21.0,6,473,4.0,Can,Cider,0.185,3.5,2838,113.52
Brickworks Ciderhouse Rose Cider,3.6,1,473,6.0,Can,Cider,0.127,3.6,473,28.38
East Street Cider Co. Landmark Dry Cider,3.85,1,473,6.0,Can,Cider,0.136,3.85,473,28.38
Eden Grove Perfect Pear,3.75,1,473,5.4,Can,Cider,0.147,3.75,473,25.542
Brickworks Ciderhouse Raspberry Peach Cider,3.6,1,473,5.0,Can,Cider,0.152,3.6,473,23.65
Strongbow Gold Apple Cider,3.7,1,440,4.5,Can,Cider,0.187,3.7,440,19.8
Brickworks Ciderhouse Mixed Pack,19.95,6,473,5.25,Can,Cider,0.134,3.325,2838,147.576
Thornbury Craft Cranberry Cider,3.95,1,473,5.3,Can,Cider,0.158,3.95,473,25.069
Ernest Cider Spiced Cherry,3.75,1,473,5.5,Can,Cider,0.144,3.75,473,26.015
Seagram Cider,2.95,1,473,5.3,Can,Cider,0.118,2.95,473,25.069
Tempt Cider No. 9,1.85,1,330,4.5,Can,Cider,0.125,1.85,330,14.85
Two Blokes - Hex Press Dry Cider,4.1,1,473,6.4,Can,Cider,0.135,4.1,473,30.272
